0.974916288,0.025641026,,X bar,Y bar,XY bar,X sqbar,X bar square,,,XY,Xsqr
0.879902402,0.051282051,,1.282051282,2.018148158,3.216622204,2.18058295,1.64365549,,,0.024997854,0.000657462
0.60259774,0.076923077,,,,,,,,,0.0451232,0.002629849
0.247087822,0.102564103,,,,,,,,,0.046353672,0.00591716
1.116373478,0.128205128,,,,,,,,,0.025342341,0.010519395
0.65306042,0.153846154,,a,1.17195118,,,,,,0.143124805,0.016436555
0.794016193,0.179487179,,b,0.515646645,,,,,,0.100470834,0.023668639
0.956404989,0.205128205,,,,,,,,,0.142515727,0.032215647
0.462771865,0.230769231,,,,,,,,,0.196185639,0.04207758
0.518899234,0.256410256,,,,,,,,,0.106793507,0.053254438
0.503150316,0.282051282,,,,,,,,,0.133051085,0.065746219
0.838014451,0.307692308,,,,,,,,,0.141914192,0.079552926
0.445456533,0.333333333,,,,,,,,,0.257850601,0.094674556
1.385128747,0.358974359,,,,,,,,,0.148485511,0.111111111
1.405708375,0.384615385,,,,,,,,,0.497225704,0.12886259
0.537383934,0.41025641,,,,,,,,,0.540657068,0.147928994
1.06174709,0.435897436,,,,,,,,,0.220465204,0.168310322
1.556686798,0.461538462,,,,,,,,,0.462812834,0.190006575
1.041356574,0.487179487,,,,,,,,,0.718470831,0.213017752
1.445609106,0.512820513,,,,,,,,,0.507327562,0.237343853
1.306812568,0.538461538,,,,,,,,,0.741338003,0.262984879
0.950004808,0.564102564,,,,,,,,,0.703668305,0.289940828
1.074552588,0.58974359,,,,,,,,,0.535900148,0.318211703
0.974340165,0.615384615,,,,,,,,,0.633710501,0.347797502
1.193703581,0.641025641,,,,,,,,,0.599593947,0.378698224
0.979412159,0.666666667,,,,,,,,,0.765194603,0.410913872
1.003708541,0.692307692,,,,,,,,,0.65294144,0.444444445
1.316048942,0.717948718,,,,,,,,,0.694875143,0.47928994
1.572481496,0.743589744,,,,,,,,,0.944855651,0.515450362
1.171747281,0.769230769,,,,,,,,,1.169281113,0.552925707
1.467149033,0.794871795,,,,,,,,,0.901344062,0.591715976
1.643774948,0.820512821,,,,,,,,,1.166195385,0.63182117
1.138453018,0.846153846,,,,,,,,,1.34873842,0.673241289
2.059911594,0.871794872,,,,,,,,,0.9633064,0.715976331
1.650276314,0.897435897,,,,,,,,,1.795820364,0.760026299
1.526206823,0.923076923,,,,,,,,,1.481017204,0.805391189
1.554324288,0.948717949,,,,,,,,,1.408806298,0.852071006
2.007846925,0.974358974,,,,,,,,,1.474615351,0.900065747
2.095498051,1,,,,,,,,,1.95636367,0.94937541
1.447287782,1.025641026,,,,,,,,,2.095498051,1
1.319848682,1.051282051,,,,,,,,,1.484397726,1.051939514
1.924153844,1.076923077,,,,,,,,,1.387533229,1.105193951
1.403460317,1.102564103,,,,,,,,,2.072165678,1.159763314
1.756236792,1.128205128,,,,,,,,,1.547404966,1.215647601
