Time Number Z,HT Phase Current Z,x,x_sq,x_cube,x_four,x_five,x_six,,,,,,,,
-2.028530264,-0.789957133,-2.028530264,4.114935032,-8.347270248,16.93269032,-34.34847477,69.67692059,,,,Mean,,,,
-2.028439066,-1.022435781,-2.028439066,4.114565044,-8.346144475,16.9296455,-34.34075431,69.6581276,,,,Date Value,43611.93688,,,
-2.028393533,-1.022435781,-2.028393533,4.114380323,-8.345582437,16.92812544,-34.33690016,69.64874621,,,,HT Phase Current,38.90584003,,,
-2.028347999,-1.022435781,-2.028347999,4.114195605,-8.345020424,16.92660548,-34.33304635,69.63936587,,,,,,,,
-2.028302466,-1.022435781,-2.028302466,4.114010892,-8.344458436,16.92508562,-34.32919289,69.62998659,,,,,,,,
-2.028256801,-1.022435781,-2.028256801,4.113825651,-8.343894854,16.92356148,-34.32532868,69.62058133,,,,,,,,
-2.028211268,-1.015461421,-2.028211268,4.113640946,-8.343332916,16.92204183,-34.32147591,69.61120415,,,,STDEV,,,,
-2.027482339,-0.224037681,-2.027482339,4.110684634,-8.334340495,16.89772816,-34.2598454,69.46123148,,,,Date Value,76.20771563,,,
-2.027436674,0.273798737,-2.027436674,4.110499467,-8.333777368,16.89620587,-34.25598743,69.45184522,,,,HT Phase Current,30.11029212,,,
-2.027391141,0.288411681,-2.027391141,4.110314837,-8.333215885,16.89468806,-34.25214089,69.44248699,,,,,,,,
-2.027345607,0.592294485,-2.027345607,4.110130211,-8.332654427,16.89317035,-34.2482947,69.43312981,,,,,,,,
-2.027300074,-0.021449145,-2.027300074,4.109945589,-8.332092995,16.89165274,-34.24444885,69.42377367,,,,,,,,
-2.02725454,0.557422688,-2.02725454,4.109760971,-8.331531587,16.89013524,-34.24060335,69.41441859,,,,,,,,
-2.027208876,0.804182167,-2.027208876,4.109575825,-8.330968588,16.88861346,-34.23674711,69.40503761,,,,,,,,
-2.027163342,0.580670553,-2.027163342,4.109391216,-8.330407231,16.88709616,-34.2329023,69.39568463,,,,,,,,
-2.027117809,-0.211749524,-2.027117809,4.10920661,-8.329845899,16.88557897,-34.22905783,69.3863327,,,,,,,,
-2.027072275,0.013754764,-2.027072275,4.109022009,-8.329284593,16.88406187,-34.22521371,69.37698183,,,,,,,,
-2.027026611,-0.291456489,-2.027026611,4.10883688,-8.328721694,16.88254051,-34.22135886,69.36760506,,,,,,,,
-2.026981077,-0.237322176,-2.026981077,4.108652287,-8.328160438,16.88102362,-34.21751543,69.35825628,,,,,,,,
-2.026935544,-0.054328268,-2.026935544,4.108467698,-8.327599207,16.87950683,-34.21367235,69.34890856,,,,,,,,
-2.02689001,0.10209665,-2.02689001,4.108283113,-8.327038002,16.87799014,-34.20982961,69.33956188,,,,,,,,
-2.026844477,0.855659582,-2.026844477,4.108098533,-8.326476822,16.87647356,-34.20598722,69.33021626,,,,,,,,
-2.026798812,0.901491087,-2.026798812,4.107913425,-8.325914049,16.8749527,-34.2021341,69.32084476,,,,,,,,
-2.026753279,1.009759714,-2.026753279,4.107728853,-8.32535292,16.87343633,-34.1982924,69.31150124,,,,,,,,
-2.026707745,0.584323789,-2.026707745,4.107544284,-8.324791815,16.87192005,-34.19445104,69.30215876,,,,,,,,
-2.026662212,-0.012482112,-2.026662212,4.107359721,-8.324230736,16.87040387,-34.19061003,69.29281734,,,,,,,,
-2.026616547,-0.161600559,-2.026616547,4.107174629,-8.323668065,16.86888343,-34.1867583,69.28345005,,,,,,,,
-2.026571014,0.194755997,-2.026571014,4.106990073,-8.323107036,16.86736746,-34.18291798,69.27411073,,,,,,,,
-2.02652548,0.321290804,-2.02652548,4.106805522,-8.322546032,16.86585159,-34.179078,69.26477246,,,,,,,,
-2.026479947,0.822116234,-2.026479947,4.106620975,-8.321985054,16.86433583,-34.17523837,69.25543524,,,,,,,,
-2.026434413,0.186121076,-2.026434413,4.106436431,-8.321424101,16.86282017,-34.17139909,69.24609906,,,,,,,,
-2.026388749,0.741745044,-2.026388749,4.106251361,-8.320861556,16.86130024,-34.16754909,69.23673704,,,,,,,,
-2.026343215,0.923742614,-2.026343215,4.106066826,-8.320300653,16.85978478,-34.16371049,69.22740296,,,,,,,,
-2.026297682,0.865955065,-2.026297682,4.105882295,-8.319739776,16.85826942,-34.15987224,69.21806994,,,,,,,,
-2.026252148,0.914775581,-2.026252148,4.105697768,-8.319178924,16.85675417,-34.15603434,69.20873796,,,,,,,,
-2.026206484,0.92739585,-2.026206484,4.105512714,-8.31861648,16.85523465,-34.15218572,69.19938015,,,,,,,,
-2.02616095,0.887542368,-2.02616095,4.105328196,-8.318055678,16.8537196,-34.14834851,69.19005027,,,,,,,,
-2.026115417,0.793222459,-2.026115417,4.105143682,-8.317494902,16.85220465,-34.14451165,69.18072144,,,,,,,,
-2.026069883,0.68893918,-2.026069883,4.104959172,-8.31693415,16.8506898,-34.14067512,69.17139366,,,,,,,,
-2.02602435,0.613217563,-2.02602435,4.104774666,-8.316373424,16.84917506,-34.13683895,69.16206693,,,,,,,,
-2.025978685,0.904147986,-2.025978685,4.104589633,-8.315811107,16.84765605,-34.13299206,69.15271437,,,,,,,,
-2.025933152,0.694252978,-2.025933152,4.104405135,-8.315250432,16.84614151,-34.12915657,69.14338974,,,,,,,,
-2.025887618,0.451810959,-2.025887618,4.104220642,-8.314689781,16.84462708,-34.12532143,69.13406615,,,,,,,,
-2.025842085,0.718165067,-2.025842085,4.104036153,-8.314129156,16.84311274,-34.12148663,69.12474362,,,,,,,,
-2.02579642,0.112724246,-2.02579642,4.103851136,-8.31356694,16.84159415,-34.11764113,69.11539527,,,,,,,,
-2.025750887,0.782926976,-2.025750887,4.103666655,-8.313006365,16.84008002,-34.11380702,69.10607483,,,,,,,,
-2.025705353,0.745066168,-2.025705353,4.103482178,-8.312445815,16.83856599,-34.10997326,69.09675543,,,,,,,,
-2.02565982,0.882560683,-2.02565982,4.103297706,-8.311885291,16.83705206,-34.10613984,69.08743709,,,,,,,,
-2.025614286,0.862633941,-2.025614286,4.103113237,-8.311324792,16.83553824,-34.10230677,69.07811979,,,,,,,,
-2.025568622,0.762003898,-2.025568622,4.102928241,-8.310762702,16.83402015,-34.098463,69.0687767,,,,,,,,
-2.025523088,0.817134549,-2.025523088,4.102743781,-8.310202254,16.83250653,-34.09463062,69.0594615,,,,,,,,
-2.025477555,0.812152863,-2.025477555,4.102559325,-8.30964183,16.83099302,-34.09079858,69.05014734,,,,,,,,
-2.025432021,0.824108908,-2.025432021,4.102374873,-8.309081432,16.8294796,-34.08696688,69.04083424,,,,,,,,
-2.025386357,0.811156526,-2.025386357,4.102189894,-8.308519444,16.82796193,-34.08312449,69.03149534,,,,,,,,
-2.025340823,0.753701089,-2.025340823,4.10200545,-8.307959096,16.82644871,-34.07929349,69.02218433,,,,,,,,
-2.02529529,0.763000235,-2.02529529,4.101821011,-8.307398773,16.82493561,-34.07546283,69.01287437,,,,,,,,
-2.025249756,0.739420258,-2.025249756,4.101636576,-8.306838475,16.8234226,-34.07163252,69.00356546,,,,,,,,
-2.025204223,0.652738934,-2.025204223,4.101452144,-8.306278203,16.82190969,-34.06780255,68.99425759,,,,,,,,
-2.025158558,0.643107675,-2.025158558,4.101267186,-8.305716341,16.82039253,-34.06396189,68.98492394,,,,,,,,
-2.025113025,0.680968484,-2.025113025,4.101082763,-8.305156119,16.81887983,-34.06013261,68.97561817,,,,,,,,
-2.025067491,0.598272507,-2.025067491,4.100898344,-8.304595923,16.81736723,-34.05630367,68.96631344,,,,,,,,
-2.025021958,0.504284711,-2.025021958,4.10071393,-8.304035751,16.81585474,-34.05247508,68.95700976,,,,,,,,
-2.024976293,0.568714508,-2.024976293,4.100528988,-8.303473991,16.81433798,-34.0486358,68.94768031,,,,,,,,
-2.02493076,0.596279833,-2.02493076,4.100344582,-8.30291387,16.81282569,-34.0448079,68.93837873,,,,,,,,
-2.024885226,0.550780441,-2.024885226,4.10016018,-8.302353774,16.8113135,-34.04098034,68.92907818,,,,,,,,
-2.024839693,0.492328666,-2.024839693,4.099975782,-8.301793703,16.80980141,-34.03715313,68.91977869,,,,,,,,
-2.024794159,0.42789887,-2.024794159,4.099791388,-8.301233657,16.80828943,-34.03332626,68.91048024,,,,,,,,
-2.024748495,0.438194353,-2.024748495,4.099606467,-8.300672023,16.80677318,-34.02948871,68.90115604,,,,,,,,
-2.024702961,0.41660705,-2.024702961,4.099422082,-8.300112028,16.8052614,-34.02566253,68.89185968,,,,,,,,
-2.024657428,0.374096668,-2.024657428,4.0992377,-8.299552058,16.80374972,-34.02183669,68.88256437,,,,,,,,
-2.024611894,0.286751119,-2.024611894,4.099053323,-8.298992114,16.80223815,-34.0180112,68.8732701,,,,,,,,
-2.02456623,0.227967233,-2.02456623,4.098868419,-8.298430581,16.80072231,-34.01417503,68.8639501,,,,,,,,
-2.024520696,0.075527662,-2.024520696,4.09868405,-8.297870686,16.79921094,-34.01035023,68.85465793,,,,,,,,
-2.024475163,0.029364045,-2.024475163,4.098499685,-8.297310817,16.79769967,-34.00652577,68.8453668,,,,,,,,
-2.024429629,0.005451955,-2.024429629,4.098315324,-8.296750974,16.7961885,-34.00270166,68.83607672,,,,,,,,
-2.024384096,-0.267212287,-2.024384096,4.098130968,-8.296191155,16.79467743,-33.99887789,68.82678768,,,,,,,,
